filename,page,where_it_sits,placement,source,generate_ratio,target_px,prompt,negative_prompt,notes
home-practices.jpg,/,Who we build for — sixth cell in the practice grid,tile,AI-generatable,4:5,1400x1750,"A street of low-rise professional office buildings at dawn, shot from across the road. Empty pavement, cool blue-grey light before the sun is properly up, one warm window lit. Deliberately non-specific — it could be any professional district in any mid-size city. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Layout crops this to a tall portrait cell — keep the subject centred vertically.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",Sets the tone for the whole site; generate this one first and match the others to it.
home-overflow.jpg,/,After 'The work around the work',feature,AI-generatable,16:9,2400x1350,"A desk photographed from directly overhead where paper has outgrown the surface — stacked folders, loose sheets overlapping at angles, a phone face-down at the edge. Tight framing, slightly claustrophobic, everything blank and unreadable. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Displays at 16:9 with minimal cropping.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",The only frame on the site allowed to feel cluttered. Everything else is calm.
legal-world.jpg,/legal,Full-bleed band under the hero,band,AI-generatable,16:9,2560x1440,"The interior of a working law office late at night. A single desk lamp throws warm light across stacked case folders and a legal pad; the rest of the room falls into deep shadow. Bookshelves suggested rather than shown. No people. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Layout crops this to a 21:8 letterbox from the centre — keep the subject centred with room above and below.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",
legal-drain-stack.jpg,/legal,'Where the week goes' card grid,tile,AI-generatable,16:9,1800x1010,"A tall stack of unopened mail and closed folders shot from the side, edge-on and very close, so the frame is mostly layered paper edges receding into shadow. Reads as accumulation. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Layout crops this to a wide, short cell — keep the subject centred horizontally.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",
legal-drain-clock.jpg,/legal,'Where the week goes' card grid,tile,AI-generatable,16:9,1800x1010,"A wall clock in a dim office, cropped so only part of the dial and the hands are visible, hands indicating a late hour. Everything else falls to black. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Layout crops this to a wide, short cell — keep the subject centred horizontally.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",Ensure no numerals render as garbled text — a plain baton dial is safer.
legal-gain-hands.jpg,/legal,'What you get back' card grid,tile,AI-generatable,4:3,1600x1200,"A pair of hands closing a plain manila folder on a clear desk, shot close from a low angle. Sleeves and cuffs only, no face. Warm light, blank folder tab. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Layout crops this to roughly 6:5 inside a card grid — keep the subject centred and away from the edges.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",
legal-gain-light.jpg,/legal,'What you get back' card grid,tile,AI-generatable,4:3,1600x1200,"Late afternoon sunlight falling in a hard diagonal across an empty wooden desk surface. The grain of the wood and a single pen are the only subjects. Almost abstract. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Layout crops this to roughly 6:5 inside a card grid — keep the subject centred and away from the edges.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",
legal-gain-door.jpg,/legal,'What you get back' card grid,tile,AI-generatable,4:3,1600x1200,"An office door being pulled closed from the outside, warm hallway light spilling through the narrowing gap. A hand on the handle, no face. Reads as leaving on time. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Layout crops this to roughly 6:5 inside a card grid — keep the subject centred and away from the edges.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",
healthcare-world.jpg,/healthcare,Full-bleed band under the hero,band,AI-generatable,16:9,2560x1440,"A quiet clinic corridor between appointments. Closed exam room doors recede down one side, soft daylight from a window at the far end, an empty rolling stool in the foreground. Calm and warm rather than clinical-cold. No people. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Layout crops this to a 21:8 letterbox from the centre — keep the subject centred with room above and below.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",No signage anywhere — clinic corridors are where models hallucinate text.
healthcare-drain.jpg,/healthcare,After 'The clinical day is short',feature,AI-generatable,16:9,2400x1350,"An empty clinic waiting room after hours. Rows of chairs, half the overhead lights off, blue evening light through the windows. Still and slightly cold. No people. Editorial photograph, clean modern aesthetic. Muted desaturated palette of warm neutrals, charcoal grey and soft olive. One soft directional light source with gentle falloff into shadow, slightly underexposed so the frame sits comfortably on a near-black page. Shallow depth of field, 50mm prime lens rendering, fine natural film grain. Calm uncluttered composition with generous negative space. Photorealistic. Displays at 16:9 with minimal cropping.","text, letters, words, numbers, signage, logos, watermarks, readable screens or documents, recognisable faces, people looking at camera, stock-photo posing, oversaturated colour, HDR, heavy vignette, illustration, 3D render, cartoon, clutter",
